State,Bill Number,Status,Date
AL,SB 5,Prefiled for 2022; will be read for first time 1/11/22,1/11/2022
AL,SB 10,Prefiled for 2022; will be read for first time 1/11/22,1/11/2022
AL ,HB 1 ,Indefinitely postponed 5/6/21,5/6/2021
AR,SB347,Died in Senate Committee at Sine Die adjournment 10/15/21,10/15/2021
AR,HB 1570,Signed into law 4/13/21,4/13/2021
AZ,SB 1511,Assigned to committee and read the second time 2/2/21,2/2/2021
FL,HB 935,Died in subcommittee 4/30/21,4/30/2021
FL,HB 211,Prefiled for 2022; referred to committee 10/6/21,10/6/2021
GA,HB 401,Read for the second time 2/16/21,2/16/2021
IA,HF 193,Introduced and referred to committee 1/22/21,1/22/2021
IN,SB 224,Died in committee 2/23/21,2/23/2021
KS,HB 2210,Introduced and referred to committee 2/3/21,2/3/2021
KY,HB336,Died 4/2/21,4/2/2021
KY,HB 477,Died 4/2/21,4/2/2021
LA,SB 104,Read for the second time and referred to commitee 4/12/21,4/12/2021
LA,HB 575,Referred to committee 4/12/21,4/12/2021
MO,HB 33,Motion to pass failed 5/12/21,5/12/2021
MS,SB 2171,Died in committee 2/2/21,2/2/2021
MT,HB 113,Died in process 4/29/21,4/29/2021
NC,SB 514,Read for the first time and referred to committee 4/6/21,4/6/2021
OH,HB 454,Introduced 10/19/21,10/19/2021
OK,SB 583,Read for the second time and referred to committee 2/2/21,2/2/2021
OK,SB 676,Read for the second time and referred to committee 2/2/21,2/2/2021
SC,HB 3477,Read for the first time and referred to committee 1/12/21,1/12/2021
SC,HB 4047,Referred to committee 3/9/21,3/9/2021
TN,SB 657,Referred to committee 2/11/21,2/11/2021
TN,HB 578,Deferred to 2022,12/31/2021
TX,HB 68,Read for the first time and referred to committee 2/25/21Placed on general state calendar 5/12/21,5/12/2021
TX,HB1339,Read for the third time and passed in Senate 4/28/21;,4/28/2021
TX,SB 16446,Referred to committee in House 5/3/21,5/3/2021
UT,HB 92,Died 3/5/21,3/5/2021
WV,HB 2171,Referred to committee 2/10/21,2/10/2021
AR,HB 1882,Died 10/15/21,10/15/2021
AR,HB 1905,Read for the second time and referred to committee 4/12/21,4/12/2021
TN,HB 1223,Signed by Governor 5/14/21,5/14/2021
TN,SB 1367,Substituted for companion House bill 4/21/21,4/21/2021
TN,HB 1182,Signed by Governor 5/17/21,5/17/2021
TN,SB 1224,Companion House bill substitute 4/29/21,4/29/2021
AL,HB 391,Signed by Governor,
AR,SJR 16,Died 10/15/21,10/15/2021
AR,SB 354,Signed by Governor 3/29/21,3/29/2021
AR,SB 450,Signed by Governor 4/29/21,4/29/2021
AZ,SB 1637,Read for the first time 6/30/21,6/30/2021
CT,SB 324,Referred to committee 1/25/21,1/25/2021
CT,HB 6128,Referred to committee 1/29/21,1/29/2021
FL,HB 935,Died in subcommittee 4/30/21,4/30/2021
FL,HB 1475,Died in committee 4/30/21,4/30/2021
FL,SB 2012,Died in committee 4/30/21,4/30/2021
FL,S 1028,Approved by Governor 6/1/22,6/1/2022
