State,Bill Number,Status,Date
AR,SB 389,Delivered to Governor 4/1/21,4/1/2021
IN,SB 288,Read for the second time 2/22/21,2/22/2021
IN,SB 289,Read for the first time and referred to committee 1/11/21,1/11/2021
MO,HB 786,Referred to committee 3/4/21,3/4/2021
MO,HB 1693,Prefiled 12/1/21,12/1/2021
OK,SB 651,Read for the second time and referred to committee 2/2/21,2/2/2021
OK,HB 1004,Second reading referred to commitee 2/13/21,2/13/2021
TN,SB 1208,Passed on second consideration and referred to committee 2/22/21,2/22/2021
TN,SB 1229,Signed by Governor 5/3/21,5/3/2021
TN,HB 529,Comparable Senate bill substituted 4/14/21,4/14/2021
WI,AB 14,Referred to committee 3/16/21,3/16/2021
WI,SB 31,Read the second time and referred to committee 3/16/21,3/16/2021
