Table 10,,,,,,,,
Incidents,,,,,,,,
Bias Motivation,,,,,,,,
"by Location, 2021",,,,,,,,
Location,"Total
incidents",Bias motivation,,,,,,"Multiple-
bias
incidents1"
,,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
Identity",
Total,"7,262","4,470","1,005","1,127",134,72,266,188
Abandoned/condemned structure,9,7,2,0,0,0,0,0
Air/bus/train terminal,85,53,7,19,0,0,5,1
Amusement park,5,4,0,0,0,0,1,0
Arena/stadium/fairgrounds/coliseum,9,7,0,1,1,0,0,0
ATM separate from bank,1,1,0,0,0,0,0,0
Auto dealership new/used,13,8,1,3,1,0,0,0
Bank/savings and loan,20,11,2,3,1,1,0,2
Bar/nightclub,116,62,5,40,1,0,7,1
Camp/campground,11,4,1,4,0,1,1,0
Church/synagogue/temple/mosque,189,25,144,13,0,0,1,6
Commercial office building,163,106,19,19,0,5,6,8
Community center,20,10,5,5,0,0,0,0
Construction site,19,9,7,2,0,0,0,1
Convenience store,152,111,16,12,1,1,7,4
Cyberspace,107,60,17,18,1,2,6,3
Daycare facility,3,2,1,0,0,0,0,0
Department/discount store,87,58,16,6,2,0,1,4
Dock/wharf/freight/modal terminal,11,9,0,1,0,0,0,1
Drug store/doctor's office/hospital,94,74,7,6,1,2,3,1
Farm facility,4,2,0,0,0,1,0,1
Field/woods,43,30,5,3,0,0,4,1
Gambling facility/casino/race track,19,13,0,5,1,0,0,0
Government/public building,118,77,14,15,2,1,4,5
Grocery/supermarket,100,70,17,10,0,0,3,0
Highway/road/alley/street/sidewalk,"1,224",835,135,159,17,9,44,25
Hotel/motel/etc.,90,62,7,14,1,3,3,0
Industrial site,14,7,3,2,1,0,1,0
Jail/prison/penitentiary/corrections facility,101,77,3,15,3,2,1,0
Lake/waterway/beach,13,11,1,1,0,0,0,0
Liquor store,12,10,2,0,0,0,0,0
Military installation,1,0,0,0,0,1,0,0
Park/playground,199,120,28,30,2,2,5,12
Parking/drop lot/garage,507,329,73,65,5,4,19,12
Rental storage facility,14,8,5,0,1,0,0,0
Residence/home,"2,341","1,383",291,423,63,26,105,50
Rest area,3,2,0,1,0,0,0,0
Restaurant,205,136,18,42,0,0,5,4
School/college2,84,38,25,12,3,0,2,4
School—college/university,135,74,28,22,2,2,3,4
School—elementary/secondary,367,209,34,80,10,1,19,14
Service/gas station,84,65,11,4,1,1,0,2
Shelter—mission/homeless,17,6,1,6,1,0,2,1
Shopping mall,21,12,4,2,0,1,1,1
"Specialty store (TV, fur, etc.)",99,73,6,15,3,1,1,0
Tribal lands,2,1,1,0,0,0,0,0
Other/unknown,307,184,42,47,8,4,5,17
Multiple locations,24,15,1,2,1,1,1,3
1 A multiple-bias incident is an incident in which one or more offense types are motivated by two or more biases.,,,,,,,,
"2 The location designation School/college has been retained for agencies that have not updated their records management systems to include the new location designations of School—college/university and School—elementary/secondary, which allow for more specificity in reporting.",,,,,,,,
