Table 13,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,
"by State, Federal, and Agency, 2021",,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,,Number of incidents per quarter,,,,Population1
,,,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
Alabama,Total,,137,72,32,5,5,4,,,,,
,Cities,,88,62,29,2,5,2,,,,,
,,Abbeville,1,0,0,0,0,0,0,1,0,0,"2,539"
,,Alexander City,1,0,1,0,0,0,0,0,1,1,"14,066"
,,Altoona,1,0,0,0,0,0,0,1,0,0,913
,,Andalusia2,4,1,0,0,0,0,0,2,1,1,"8,643"
,,Anniston,1,0,1,0,0,0,1,0,0,1,"20,913"
,,Arab,1,0,0,0,0,0,0,1,0,0,"8,437"
,,Bay Minette,0,0,1,0,0,0,0,0,0,1,"9,647"
,,Birmingham2,3,38,4,1,3,1,12,17,11,8,"206,476"
,,Bridgeport,1,0,0,0,0,0,0,0,1,0,"2,258"
,,Camden,1,0,0,0,0,0,,0,1,0,"1,667"
,,Centre,1,0,0,0,0,0,0,0,0,1,"3,624"
,,Cullman,2,0,0,0,0,0,1,0,0,1,"16,696"
,,Daleville,1,0,0,0,0,0,0,1,0,0,"5,075"
,,Daphne,0,1,1,0,0,0,0,2,0,0,"28,387"
,,Decatur,1,0,0,0,0,0,1,,,,"54,240"
,,Enterprise2,4,0,0,0,0,0,0,0,1,2,"29,240"
,,Eufaula,2,0,0,0,0,0,1,0,0,1,"11,489"
,,Fairhope,0,1,0,0,0,0,0,0,0,1,"24,467"
,,Florala,1,0,0,0,0,0,0,0,1,0,"1,882"
,,Florence,4,2,2,0,0,0,2,2,3,1,"41,325"
,,Foley,1,0,0,0,0,0,0,1,0,0,"22,166"
,,Fultondale,0,1,0,0,0,0,0,0,1,0,"9,365"
,,Gadsden,2,0,0,0,0,0,0,2,0,0,"34,613"
,,Gulf Shores2,8,0,1,0,0,1,1,4,2,1,"13,421"
,,Hoover,0,0,1,0,0,0,0,0,1,,"86,514"
,,Jasper,1,0,0,0,0,0,0,0,1,0,"13,177"
,,Lanett,1,0,0,0,0,0,0,1,0,0,"6,014"
,,Level Plains,1,0,0,0,0,0,0,1,0,0,"1,944"
,,Lincoln,0,1,0,0,0,0,0,1,0,0,"7,058"
,,Luverne,1,0,0,0,0,0,0,0,1,0,"2,694"
,,Midfield2,4,2,0,0,0,0,0,0,1,1,"4,918"
,,Millbrook,1,0,0,0,0,0,0,1,0,0,"16,226"
,,Mobile,8,0,14,0,0,0,6,5,4,7,"242,894"
,,Moody,1,0,0,0,0,0,0,0,1,0,"13,458"
,,Muscle Shoals,0,1,0,0,0,0,0,0,1,0,"15,051"
,,Newton,1,0,0,0,0,0,0,0,0,1,"1,446"
,,Northport,0,0,1,0,0,0,0,0,0,1,"26,309"
,,Opelika,3,1,0,0,0,0,1,1,1,1,"31,644"
,,Opp,2,0,0,0,0,0,1,1,0,0,"6,279"
,,Ozark,0,3,0,0,0,0,0,0,0,3,"14,065"
,,Parrish,1,0,0,0,0,0,0,0,0,1,923
,,Pelham,0,1,0,0,0,0,0,0,1,,"24,516"
,,Phenix City,5,0,0,0,0,0,2,1,0,2,"36,744"
,,Pleasant Grove,1,0,0,0,0,0,0,1,0,0,"9,528"
,,Priceville,1,0,0,0,0,0,1,0,0,0,"4,137"
,,Prichard,2,0,0,1,0,0,2,0,1,0,"21,170"
,,Rainbow City,1,0,0,0,0,0,1,0,0,0,"9,602"
,,Red Bay,1,0,0,0,0,0,0,1,0,0,"3,103"
,,Riverside,2,0,0,0,0,0,0,1,1,0,"2,393"
,,Saraland,0,0,1,0,0,0,0,1,0,0,"14,764"
,,Selma,1,0,0,0,0,0,0,0,1,0,"16,309"
,,Stevenson,1,0,0,0,0,0,0,0,1,0,"1,886"
,,Sylacauga,1,1,0,0,1,0,0,1,0,2,"11,859"
,,Troy,1,4,0,0,0,0,0,0,1,4,"18,822"
,,Trussville,0,1,1,0,0,0,0,0,2,0,"23,379"
,,Tuscaloosa,0,2,0,0,1,0,,,0,3,"104,151"
,,Valley Head,1,0,0,0,0,0,1,0,0,0,562
,,Vernon,1,0,0,0,0,0,1,0,0,0,"1,828"
,,Vestavia Hills,2,1,0,0,0,0,0,1,1,1,"34,369"
,,Woodstock,1,0,0,0,0,0,1,0,0,0,"1,653"
,Universities and Colleges,,1,1,0,0,0,0,,,,,
,,"University of Alabama, Birmingham",1,1,0,0,0,0,0,1,0,1,"25,843"
,Metropolitan Counties,,28,8,3,2,0,1,,,,,
,,Blount,0,1,0,0,0,0,0,1,0,0,
,,Elmore,1,2,0,0,0,0,0,0,2,1,
,,Jefferson2,20,4,3,0,0,0,2,9,10,5,
,,Lee,0,1,0,0,0,0,0,1,0,0,
