Table 4,,,,,,,,,,,,,,,
Offenses,,,,,,,,,,,,,,,
Offense Type,,,,,,,,,,,,,,,
"by Bias Motivation, 2021",,,,,,,,,,,,,,,
Bias motivation,"Total
offenses",Crimes against persons,,,,,,Crimes against property,,,,,,,"Crimes
against
society"
,,"Murder and
nonnegligent
manslaughter",Rape,"Aggravated
assault","Simple
assault",Intimidation,Other1,Robbery,Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Destruction/
damage/
vandalism",Other,
Total,"8,673",9,13,"1,058","2,074","2,558",69,104,117,476,51,43,"1,674",141,286
Single-Bias Incidents,"8,419",7,13,"1,038","2,016","2,464",69,103,113,471,51,41,"1,609",141,283
Race/Ethnicity/Ancestry:,"5,448",3,3,766,"1,359","1,700",27,70,64,226,29,11,954,65,171
Anti-White,"1,131",0,3,142,343,253,13,18,23,116,16,3,108,30,63
Anti-Black or African American,"2,685",1,0,389,622,948,7,17,14,47,3,4,557,19,57
Anti-American Indian or Alaska Native,135,0,0,16,27,16,3,0,5,20,6,0,15,6,21
Anti-Asian,363,2,0,45,104,125,1,11,6,8,1,1,55,1,3
Anti-Native Hawaiian or Other Pacific Islander,29,0,0,3,4,2,0,0,1,9,1,0,0,2,7
"Anti-Multiple Races, Group",150,0,0,6,27,26,0,1,1,4,1,0,78,0,6
Anti-Arab,99,0,0,20,20,42,0,0,1,3,0,1,10,1,1
Anti-Hispanic or Latino,588,0,0,118,154,202,3,18,8,9,0,2,62,1,11
Anti-Other Race/Ethnicity/Ancestry,268,0,0,27,58,86,0,5,5,10,1,0,69,5,2
Religion:,"1,112",0,5,50,111,240,11,6,30,130,13,14,381,45,76
Anti-Jewish,351,0,1,8,16,99,4,5,7,10,0,2,193,3,3
Anti-Catholic,71,0,1,3,1,16,1,0,1,3,0,0,36,4,5
Anti-Protestant,42,0,0,3,6,5,0,0,3,10,1,0,13,1,0
Anti-Islamic (Muslim),121,0,0,10,29,48,2,0,1,2,0,3,23,1,2
Anti-Other Religion,62,0,0,3,7,20,0,0,0,10,0,1,19,0,2
"Anti-Multiple Religions, Group",41,0,0,2,2,14,0,0,1,2,0,2,12,1,5
Anti-Mormon,22,0,0,0,3,2,0,1,1,1,0,3,8,2,1
Anti-Jehovah's Witness,6,0,0,0,0,0,0,0,1,3,0,0,1,0,1
"Anti-Eastern Orthodox (Russian, Greek, Other)",74,0,1,2,17,12,1,0,4,8,2,1,11,3,12
Anti-Other Christian,42,0,0,2,3,10,0,0,1,5,1,2,16,0,2
Anti-Buddhist,28,0,0,3,5,0,0,0,0,9,0,0,6,3,2
Anti-Hindu,14,0,0,3,2,3,0,0,0,3,0,0,3,0,0
Anti-Sikh,218,0,2,11,19,11,3,0,8,58,9,0,30,27,40
Anti-Atheism/Agnosticism/etc.,20,0,0,0,1,0,0,0,2,6,0,0,10,0,1
Sexual Orientation:,"1,320",3,1,166,386,411,14,21,8,66,3,16,204,10,11
Anti-Gay (Male),612,1,0,106,199,179,3,15,2,17,1,4,73,4,8
Anti-Lesbian,159,0,1,15,51,64,0,0,1,4,1,1,21,0,0
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",492,2,0,43,117,149,9,6,4,41,0,11,106,2,2
Anti-Heterosexual,15,0,0,1,2,3,2,0,0,2,1,0,1,3,0
Anti-Bisexual,42,0,0,1,17,16,0,0,1,2,0,0,3,1,1
Disability:,150,0,0,10,42,24,7,2,5,21,3,0,16,11,9
Anti-Physical,53,0,0,2,18,9,0,2,2,8,1,0,6,1,4
Anti-Mental,97,0,0,8,24,15,7,0,3,13,2,0,10,10,5
Gender:,82,0,2,6,22,25,2,0,3,3,0,0,12,4,3
Anti-Male,20,0,0,0,10,2,0,0,1,1,0,0,4,0,2
Anti-Female,62,0,2,6,12,23,2,0,2,2,0,0,8,4,1
Gender Identity:,307,1,2,40,96,64,8,4,3,25,3,0,42,6,13
Anti-Transgender,200,1,1,26,62,53,5,2,1,12,2,0,28,2,5
Anti-Gender Non-Conforming,107,0,1,14,34,11,3,2,2,13,1,0,14,4,8
Multiple-Bias Incidents2,254,2,0,20,58,94,0,1,4,5,0,2,65,0,3
1 The figures shown include additional offenses collected in the National Incident-Based Reporting System. See the downloadable Methodology file for further explanation.,,,,,,,,,,,,,,,
2 A multiple-bias incident is an incident in which one or more offense types are motivated by two or more biases.,,,,,,,,,,,,,,,
