State,Bill Number,Status
AL,SB 5,Prefiled for 2022; will be read for first time 1/11/22
AL,SB 10,Prefiled for 2022; will be read for first time 1/11/22
AL ,HB 1 ,Indefinitely postponed 5/6/21
AR,SB347,Died in Senate Committee at Sine Die adjournment 10/15/21
AR,HB 1570,Signed into law 4/13/21
AZ,SB 1511,Assigned to committee and read the second time 2/2/21
FL,HB 935,Died in subcommittee 4/30/21
FL,HB 211,Prefiled for 2022; referred to committee 10/6/21
GA,HB 401,Read for the second time 2/16/21
IA,HF 193,Introduced and referred to committee 1/22/21
IN,SB 224,Died in committee 2/23/21
KS,HB 2210,Introduced and referred to committee 2/3/21
KY,HB336,Died 4/2/21
KY,HB 477,Died 4/2/21
LA,SB 104,Read for the second time and referred to commitee 4/12/21
LA,HB 575,Referred to committee 4/12/21
MO,HB 33,Motion to pass failed 5/12/21
MS,SB 2171,Died in committee 2/2/21
MT,HB 113,Died in process 4/29/21
NC,SB 514,Read for the first time and referred to committee 4/6/21
OH,HB 454,Introduced 10/19/21
OK,SB 583,Read for the second time and referred to committee 2/2/21
OK,SB 676,Read for the second time and referred to committee 2/2/21
SC,HB 3477,Read for the first time and referred to committee 1/12/21
SC,HB 4047,Referred to committee 3/9/21
TN,SB 657,Referred to committee 2/11/21
TN,HB 578,Deferred to 2022
TX,HB 68,Read for the first time and referred to committee 2/25/21Placed on general state calendar 5/12/21
TX,HB1339,Read for the third time and passed in Senate 4/28/21;
TX,SB 16446,Referred to committee in House 5/3/21
UT,HB 92,Died 3/5/21
WV,HB 2171,Referred to committee 2/10/21
AR,HB 1882,Died 10/15/21
AR,HB 1905,Read for the second time and referred to committee 4/12/21
TN,HB 1223,Signed by Governor 5/14/21
TN,SB 1367,Substituted for companion House bill 4/21/21
TN,HB 1182,Signed by Governor 5/17/21
TN,SB 1224,Companion House bill substitute 4/29/21
AL,HB 391,Signed by Governor
AR,SJR 16,Died 10/15/21
AR,SB 354,Signed by Governor 3/29/21
AR,SB 450,Signed by Governor 4/29/21
AZ,SB 1637,Read for the first time 6/30/21
CT,SB 324,Referred to committee 1/25/21
CT,HB 6128,Referred to committee 1/29/21
FL,HB 935,Died in subcommittee 4/30/21
FL,HB 1475,Died in committee 4/30/21
FL,SB 2012,Died in committee 4/30/21
FL,S 1028,Approved by Governor 6/1/22
GA,HB 276,Read for the second time 2/8/21
GA,HB 372,Read for the second time 2/11/21
GA,SB 266,Read for the second time 3/5/21
HI,HB 1304,Referred to committee 2/1/21
IA,HF 184,Introduced and referred to committee 1/22/21
KS,SB 208,Postponed until 2022
KY,SB 106,Died 4/2/21
